player,player,0,9,14
fairy,903,0,10,14
kaguya,101,0,9,13
kikousi1,105,0,8,13
kikousi2,106,0,9,12
kikousi3,107,0,10,13
shishaRed,102,1,1,10
shishaRed,102,1,2,11
shishaRed,102,1,1,12
shishaRed,102,1,2,13
shishaRed,102,1,1,14
virus,911,1,3,12
shishaBlue,103,1,16,18
shishaBlue,103,1,17,19
shishaBlue,103,1,16,20
shishaBlue,103,1,15,21
shishaBlue,103,1,17,21
virus,911,1,16,22
shishaYellow,104,1,14,8
shishaYellow,104,1,15,7
shishaYellow,104,1,14,6
shishaYellow,104,1,15,6
shishaYellow,104,1,15,5
virus,911,1,14,3
